utterance,ltl_formula
visit h a c d and b in this order there can be other landmarks in between,F & h F & a F & c F & d F b
visit h a d b and c in this order there can be other landmarks in between,F & h F & a F & d F & b F c
visit h a d c and b in this order there can be other landmarks in between,F & h F & a F & d F & c F b
visit h b a c and d in this order there can be other landmarks in between,F & h F & b F & a F & c F d
visit h b a d and c in this order there can be other landmarks in between,F & h F & b F & a F & d F c
visit h b c a and d in this order there can be other landmarks in between,F & h F & b F & c F & a F d
visit h b c d and a in this order there can be other landmarks in between,F & h F & b F & c F & d F a
visit h b d a and c in this order there can be other landmarks in between,F & h F & b F & d F & a F c
visit h b d c and a in this order there can be other landmarks in between,F & h F & b F & d F & c F a
visit h c a b and d in this order there can be other landmarks in between,F & h F & c F & a F & b F d
visit h c a d and b in this order there can be other landmarks in between,F & h F & c F & a F & d F b
visit h c b a and d in this order there can be other landmarks in between,F & h F & c F & b F & a F d
visit h c b d and a in this order there can be other landmarks in between,F & h F & c F & b F & d F a
visit h c d a and b in this order there can be other landmarks in between,F & h F & c F & d F & a F b
visit h c d b and a in this order there can be other landmarks in between,F & h F & c F & d F & b F a
visit h d a b and c in this order there can be other landmarks in between,F & h F & d F & a F & b F c
visit h d a c and b in this order there can be other landmarks in between,F & h F & d F & a F & c F b
visit h d b a and c in this order there can be other landmarks in between,F & h F & d F & b F & a F c
visit h d b c and a in this order there can be other landmarks in between,F & h F & d F & b F & c F a
visit h d c a and b in this order there can be other landmarks in between,F & h F & d F & c F & a F b
visit h d c b and a in this order there can be other landmarks in between,F & h F & d F & c F & b F a
do not visit b until you go to a,& U ! b a F b
do not visit a until you go to b,& U ! a b F a
you must visit a first before going to b,& U ! b a F b
you must visit b first before going to a,& U ! a b F a
do not visit c until visiting b do not visit b until visiting a,& U ! b a & U ! c b F c
do not visit b until visiting c do not visit c until visiting a,& U ! c a & U ! b c F b
do not visit c until visiting a do not visit a until visiting b,& U ! a b & U ! c a F c
do not visit a until visiting c do not visit c until visiting b,& U ! c b & U ! a c F a
do not visit b until visiting a do not visit a until visiting c,& U ! a c & U ! b a F b
do not visit a until visiting b do not visit b until visiting c,& U ! b c & U ! a b F a
in strictly this order visit a then eventually visit b and finally eventually c,& U ! b a & U ! c b F c
in strictly this order visit a then eventually visit c and finally eventually b,& U ! c a & U ! b c F b
in strictly this order visit b then eventually visit a and finally eventually c,& U ! a b & U ! c a F c
in strictly this order visit b then eventually visit c and finally eventually a,& U ! c b & U ! a c F a
in strictly this order visit c then eventually visit a and finally eventually b,& U ! a c & U ! b a F b
in strictly this order visit c then eventually visit b and finally eventually a,& U ! b c & U ! a b F a
visit a as many times as you want then visit b as many times but never visit a again then visit c as many times but never visit b again finally visit d,& U ! b a & U ! c b & U ! d c F d
visit a as many times as you want then visit b as many times but never visit a again then visit d as many times but never visit b again finally visit c,& U ! b a & U ! d b & U ! c d F c
visit a as many times as you want then visit c as many times but never visit a again then visit b as many times but never visit c again finally visit d,& U ! c a & U ! b c & U ! d b F d
visit a as many times as you want then visit c as many times but never visit a again then visit d as many times but never visit c again finally visit b,& U ! c a & U ! d c & U ! b d F b
visit a as many times as you want then visit d as many times but never visit a again then visit b as many times but never visit d again finally visit c,& U ! d a & U ! b d & U ! c b F c
visit a as many times as you want then visit d as many times but never visit a again then visit c as many times but never visit d again finally visit b,& U ! d a & U ! c d & U ! b c F b
visit b as many times as you want then visit a as many times but never visit b again then visit c as many times but never visit a again finally visit d,& U ! a b & U ! c a & U ! d c F d
visit b as many times as you want then visit a as many times but never visit b again then visit d as many times but never visit a again finally visit c,& U ! a b & U ! d a & U ! c d F c
visit b as many times as you want then visit c as many times but never visit b again then visit a as many times but never visit c again finally visit d,& U ! c b & U ! a c & U ! d a F d
visit b as many times as you want then visit c as many times but never visit b again then visit d as many times but never visit c again finally visit a,& U ! c b & U ! d c & U ! a d F a
visit b as many times as you want then visit d as many times but never visit b again then visit a as many times but never visit d again finally visit c,& U ! d b & U ! a d & U ! c a F c
visit b as many times as you want then visit d as many times but never visit b again then visit c as many times but never visit d again finally visit a,& U ! d b & U ! c d & U ! a c F a
visit c as many times as you want then visit a as many times but never visit c again then visit b as many times but never visit a again finally visit d,& U ! a c & U ! b a & U ! d b F d
visit c as many times as you want then visit a as many times but never visit c again then visit d as many times but never visit a again finally visit b,& U ! a c & U ! d a & U ! b d F b
visit c as many times as you want then visit b as many times but never visit c again then visit a as many times but never visit b again finally visit d,& U ! b c & U ! a b & U ! d a F d
visit c as many times as you want then visit b as many times but never visit c again then visit d as many times but never visit b again finally visit a,& U ! b c & U ! d b & U ! a d F a
visit c as many times as you want then visit d as many times but never visit c again then visit a as many times but never visit d again finally visit b,& U ! d c & U ! a d & U ! b a F b
visit c as many times as you want then visit d as many times but never visit c again then visit b as many times but never visit d again finally visit a,& U ! d c & U ! b d & U ! a b F a
visit d as many times as you want then visit a as many times but never visit d again then visit b as many times but never visit a again finally visit c,& U ! a d & U ! b a & U ! c b F c
visit d as many times as you want then visit a as many times but never visit d again then visit c as many times but never visit a again finally visit b,& U ! a d & U ! c a & U ! b c F b
visit d as many times as you want then visit b as many times but never visit d again then visit a as many times but never visit b again finally visit c,& U ! b d & U ! a b & U ! c a F c
visit d as many times as you want then visit b as many times but never visit d again then visit c as many times but never visit b again finally visit a,& U ! b d & U ! c b & U ! a c F a
visit d as many times as you want then visit c as many times but never visit d again then visit a as many times but never visit c again finally visit b,& U ! c d & U ! a c & U ! b a F b
visit d as many times as you want then visit c as many times but never visit d again then visit b as many times but never visit c again finally visit a,& U ! c d & U ! b c & U ! a b F a
before visiting b c d and h visit a and never visit it again then visit b before c d and h and never visit it again do not visit d and h until you visit c never visit c again then visit d before h and never visit h again finally visit h,& U ! b a & U ! c b & U ! d c & U ! h d F h
before visiting b c h and d visit a and never visit it again then visit b before c h and d and never visit it again do not visit h and d until you visit c never visit c again then visit h before d and never visit d again finally visit d,& U ! b a & U ! c b & U ! h c & U ! d h F d
before visiting b d c and h visit a and never visit it again then visit b before d c and h and never visit it again do not visit c and h until you visit d never visit d again then visit c before h and never visit h again finally visit h,& U ! b a & U ! d b & U ! c d & U ! h c F h
before visiting b d h and c visit a and never visit it again then visit b before d h and c and never visit it again do not visit h and c until you visit d never visit d again then visit h before c and never visit c again finally visit c,& U ! b a & U ! d b & U ! h d & U ! c h F c
before visiting b h c and d visit a and never visit it again then visit b before h c and d and never visit it again do not visit c and d until you visit h never visit h again then visit c before d and never visit d again finally visit d,& U ! b a & U ! h b & U ! c h & U ! d c F d
before visiting b h d and c visit a and never visit it again then visit b before h d and c and never visit it again do not visit d and c until you visit h never visit h again then visit d before c and never visit c again finally visit c,& U ! b a & U ! h b & U ! d h & U ! c d F c
before visiting c b d and h visit a and never visit it again then visit c before b d and h and never visit it again do not visit d and h until you visit b never visit b again then visit d before h and never visit h again finally visit h,& U ! c a & U ! b c & U ! d b & U ! h d F h
before visiting c b h and d visit a and never visit it again then visit c before b h and d and never visit it again do not visit h and d until you visit b never visit b again then visit h before d and never visit d again finally visit d,& U ! c a & U ! b c & U ! h b & U ! d h F d
before visiting c d b and h visit a and never visit it again then visit c before d b and h and never visit it again do not visit b and h until you visit d never visit d again then visit b before h and never visit h again finally visit h,& U ! c a & U ! d c & U ! b d & U ! h b F h
before visiting c d h and b visit a and never visit it again then visit c before d h and b and never visit it again do not visit h and b until you visit d never visit d again then visit h before b and never visit b again finally visit b,& U ! c a & U ! d c & U ! h d & U ! b h F b
before visiting c h b and d visit a and never visit it again then visit c before h b and d and never visit it again do not visit b and d until you visit h never visit h again then visit b before d and never visit d again finally visit d,& U ! c a & U ! h c & U ! b h & U ! d b F d
before visiting c h d and b visit a and never visit it again then visit c before h d and b and never visit it again do not visit d and b until you visit h never visit h again then visit d before b and never visit b again finally visit b,& U ! c a & U ! h c & U ! d h & U ! b d F b
before visiting d b c and h visit a and never visit it again then visit d before b c and h and never visit it again do not visit c and h until you visit b never visit b again then visit c before h and never visit h again finally visit h,& U ! d a & U ! b d & U ! c b & U ! h c F h
before visiting d b h and c visit a and never visit it again then visit d before b h and c and never visit it again do not visit h and c until you visit b never visit b again then visit h before c and never visit c again finally visit c,& U ! d a & U ! b d & U ! h b & U ! c h F c
before visiting d c b and h visit a and never visit it again then visit d before c b and h and never visit it again do not visit b and h until you visit c never visit c again then visit b before h and never visit h again finally visit h,& U ! d a & U ! c d & U ! b c & U ! h b F h
before visiting d c h and b visit a and never visit it again then visit d before c h and b and never visit it again do not visit h and b until you visit c never visit c again then visit h before b and never visit b again finally visit b,& U ! d a & U ! c d & U ! h c & U ! b h F b
before visiting d h b and c visit a and never visit it again then visit d before h b and c and never visit it again do not visit b and c until you visit h never visit h again then visit b before c and never visit c again finally visit c,& U ! d a & U ! h d & U ! b h & U ! c b F c
before visiting d h c and b visit a and never visit it again then visit d before h c and b and never visit it again do not visit c and b until you visit h never visit h again then visit c before b and never visit b again finally visit b,& U ! d a & U ! h d & U ! c h & U ! b c F b
before visiting h b c and d visit a and never visit it again then visit h before b c and d and never visit it again do not visit c and d until you visit b never visit b again then visit c before d and never visit d again finally visit d,& U ! h a & U ! b h & U ! c b & U ! d c F d
before visiting h b d and c visit a and never visit it again then visit h before b d and c and never visit it again do not visit d and c until you visit b never visit b again then visit d before c and never visit c again finally visit c,& U ! h a & U ! b h & U ! d b & U ! c d F c
before visiting h c b and d visit a and never visit it again then visit h before c b and d and never visit it again do not visit b and d until you visit c never visit c again then visit b before d and never visit d again finally visit d,& U ! h a & U ! c h & U ! b c & U ! d b F d
before visiting h c d and b visit a and never visit it again then visit h before c d and b and never visit it again do not visit d and b until you visit c never visit c again then visit d before b and never visit b again finally visit b,& U ! h a & U ! c h & U ! d c & U ! b d F b
before visiting h d b and c visit a and never visit it again then visit h before d b and c and never visit it again do not visit b and c until you visit d never visit d again then visit b before c and never visit c again finally visit c,& U ! h a & U ! d h & U ! b d & U ! c b F c
before visiting h d c and b visit a and never visit it again then visit h before d c and b and never visit it again do not visit c and b until you visit d never visit d again then visit c before b and never visit b again finally visit b,& U ! h a & U ! d h & U ! c d & U ! b c F b
before visiting a c d and h visit b and never visit it again then visit a before c d and h and never visit it again do not visit d and h until you visit c never visit c again then visit d before h and never visit h again finally visit h,& U ! a b & U ! c a & U ! d c & U ! h d F h
before visiting a c h and d visit b and never visit it again then visit a before c h and d and never visit it again do not visit h and d until you visit c never visit c again then visit h before d and never visit d again finally visit d,& U ! a b & U ! c a & U ! h c & U ! d h F d
before visiting a d c and h visit b and never visit it again then visit a before d c and h and never visit it again do not visit c and h until you visit d never visit d again then visit c before h and never visit h again finally visit h,& U ! a b & U ! d a & U ! c d & U ! h c F h
before visiting a d h and c visit b and never visit it again then visit a before d h and c and never visit it again do not visit h and c until you visit d never visit d again then visit h before c and never visit c again finally visit c,& U ! a b & U ! d a & U ! h d & U ! c h F c
before visiting a h c and d visit b and never visit it again then visit a before h c and d and never visit it again do not visit c and d until you visit h never visit h again then visit c before d and never visit d again finally visit d,& U ! a b & U ! h a & U ! c h & U ! d c F d
before visiting a h d and c visit b and never visit it again then visit a before h d and c and never visit it again do not visit d and c until you visit h never visit h again then visit d before c and never visit c again finally visit c,& U ! a b & U ! h a & U ! d h & U ! c d F c
before visiting c a d and h visit b and never visit it again then visit c before a d and h and never visit it again do not visit d and h until you visit a never visit a again then visit d before h and never visit h again finally visit h,& U ! c b & U ! a c & U ! d a & U ! h d F h
before visiting c a h and d visit b and never visit it again then visit c before a h and d and never visit it again do not visit h and d until you visit a never visit a again then visit h before d and never visit d again finally visit d,& U ! c b & U ! a c & U ! h a & U ! d h F d
before visiting c d a and h visit b and never visit it again then visit c before d a and h and never visit it again do not visit a and h until you visit d never visit d again then visit a before h and never visit h again finally visit h,& U ! c b & U ! d c & U ! a d & U ! h a F h
before visiting c d h and a visit b and never visit it again then visit c before d h and a and never visit it again do not visit h and a until you visit d never visit d again then visit h before a and never visit a again finally visit a,& U ! c b & U ! d c & U ! h d & U ! a h F a
before visiting c h a and d visit b and never visit it again then visit c before h a and d and never visit it again do not visit a and d until you visit h never visit h again then visit a before d and never visit d again finally visit d,& U ! c b & U ! h c & U ! a h & U ! d a F d
before visiting c h d and a visit b and never visit it again then visit c before h d and a and never visit it again do not visit d and a until you visit h never visit h again then visit d before a and never visit a again finally visit a,& U ! c b & U ! h c & U ! d h & U ! a d F a
before visiting d a c and h visit b and never visit it again then visit d before a c and h and never visit it again do not visit c and h until you visit a never visit a again then visit c before h and never visit h again finally visit h,& U ! d b & U ! a d & U ! c a & U ! h c F h
before visiting d a h and c visit b and never visit it again then visit d before a h and c and never visit it again do not visit h and c until you visit a never visit a again then visit h before c and never visit c again finally visit c,& U ! d b & U ! a d & U ! h a & U ! c h F c
before visiting d c a and h visit b and never visit it again then visit d before c a and h and never visit it again do not visit a and h until you visit c never visit c again then visit a before h and never visit h again finally visit h,& U ! d b & U ! c d & U ! a c & U ! h a F h
before visiting d c h and a visit b and never visit it again then visit d before c h and a and never visit it again do not visit h and a until you visit c never visit c again then visit h before a and never visit a again finally visit a,& U ! d b & U ! c d & U ! h c & U ! a h F a
before visiting d h a and c visit b and never visit it again then visit d before h a and c and never visit it again do not visit a and c until you visit h never visit h again then visit a before c and never visit c again finally visit c,& U ! d b & U ! h d & U ! a h & U ! c a F c
before visiting d h c and a visit b and never visit it again then visit d before h c and a and never visit it again do not visit c and a until you visit h never visit h again then visit c before a and never visit a again finally visit a,& U ! d b & U ! h d & U ! c h & U ! a c F a
before visiting h a c and d visit b and never visit it again then visit h before a c and d and never visit it again do not visit c and d until you visit a never visit a again then visit c before d and never visit d again finally visit d,& U ! h b & U ! a h & U ! c a & U ! d c F d
before visiting h a d and c visit b and never visit it again then visit h before a d and c and never visit it again do not visit d and c until you visit a never visit a again then visit d before c and never visit c again finally visit c,& U ! h b & U ! a h & U ! d a & U ! c d F c
before visiting h c a and d visit b and never visit it again then visit h before c a and d and never visit it again do not visit a and d until you visit c never visit c again then visit a before d and never visit d again finally visit d,& U ! h b & U ! c h & U ! a c & U ! d a F d
before visiting h c d and a visit b and never visit it again then visit h before c d and a and never visit it again do not visit d and a until you visit c never visit c again then visit d before a and never visit a again finally visit a,& U ! h b & U ! c h & U ! d c & U ! a d F a
before visiting h d a and c visit b and never visit it again then visit h before d a and c and never visit it again do not visit a and c until you visit d never visit d again then visit a before c and never visit c again finally visit c,& U ! h b & U ! d h & U ! a d & U ! c a F c
before visiting h d c and a visit b and never visit it again then visit h before d c and a and never visit it again do not visit c and a until you visit d never visit d again then visit c before a and never visit a again finally visit a,& U ! h b & U ! d h & U ! c d & U ! a c F a
before visiting a b d and h visit c and never visit it again then visit a before b d and h and never visit it again do not visit d and h until you visit b never visit b again then visit d before h and never visit h again finally visit h,& U ! a c & U ! b a & U ! d b & U ! h d F h
before visiting a b h and d visit c and never visit it again then visit a before b h and d and never visit it again do not visit h and d until you visit b never visit b again then visit h before d and never visit d again finally visit d,& U ! a c & U ! b a & U ! h b & U ! d h F d
before visiting a d b and h visit c and never visit it again then visit a before d b and h and never visit it again do not visit b and h until you visit d never visit d again then visit b before h and never visit h again finally visit h,& U ! a c & U ! d a & U ! b d & U ! h b F h
before visiting a d h and b visit c and never visit it again then visit a before d h and b and never visit it again do not visit h and b until you visit d never visit d again then visit h before b and never visit b again finally visit b,& U ! a c & U ! d a & U ! h d & U ! b h F b
before visiting a h b and d visit c and never visit it again then visit a before h b and d and never visit it again do not visit b and d until you visit h never visit h again then visit b before d and never visit d again finally visit d,& U ! a c & U ! h a & U ! b h & U ! d b F d
before visiting a h d and b visit c and never visit it again then visit a before h d and b and never visit it again do not visit d and b until you visit h never visit h again then visit d before b and never visit b again finally visit b,& U ! a c & U ! h a & U ! d h & U ! b d F b
before visiting b a d and h visit c and never visit it again then visit b before a d and h and never visit it again do not visit d and h until you visit a never visit a again then visit d before h and never visit h again finally visit h,& U ! b c & U ! a b & U ! d a & U ! h d F h
before visiting b a h and d visit c and never visit it again then visit b before a h and d and never visit it again do not visit h and d until you visit a never visit a again then visit h before d and never visit d again finally visit d,& U ! b c & U ! a b & U ! h a & U ! d h F d
before visiting b d a and h visit c and never visit it again then visit b before d a and h and never visit it again do not visit a and h until you visit d never visit d again then visit a before h and never visit h again finally visit h,& U ! b c & U ! d b & U ! a d & U ! h a F h
before visiting b d h and a visit c and never visit it again then visit b before d h and a and never visit it again do not visit h and a until you visit d never visit d again then visit h before a and never visit a again finally visit a,& U ! b c & U ! d b & U ! h d & U ! a h F a
before visiting b h a and d visit c and never visit it again then visit b before h a and d and never visit it again do not visit a and d until you visit h never visit h again then visit a before d and never visit d again finally visit d,& U ! b c & U ! h b & U ! a h & U ! d a F d
before visiting b h d and a visit c and never visit it again then visit b before h d and a and never visit it again do not visit d and a until you visit h never visit h again then visit d before a and never visit a again finally visit a,& U ! b c & U ! h b & U ! d h & U ! a d F a
before visiting d a b and h visit c and never visit it again then visit d before a b and h and never visit it again do not visit b and h until you visit a never visit a again then visit b before h and never visit h again finally visit h,& U ! d c & U ! a d & U ! b a & U ! h b F h
before visiting d a h and b visit c and never visit it again then visit d before a h and b and never visit it again do not visit h and b until you visit a never visit a again then visit h before b and never visit b again finally visit b,& U ! d c & U ! a d & U ! h a & U ! b h F b
before visiting d b a and h visit c and never visit it again then visit d before b a and h and never visit it again do not visit a and h until you visit b never visit b again then visit a before h and never visit h again finally visit h,& U ! d c & U ! b d & U ! a b & U ! h a F h
before visiting d b h and a visit c and never visit it again then visit d before b h and a and never visit it again do not visit h and a until you visit b never visit b again then visit h before a and never visit a again finally visit a,& U ! d c & U ! b d & U ! h b & U ! a h F a
before visiting d h a and b visit c and never visit it again then visit d before h a and b and never visit it again do not visit a and b until you visit h never visit h again then visit a before b and never visit b again finally visit b,& U ! d c & U ! h d & U ! a h & U ! b a F b
before visiting d h b and a visit c and never visit it again then visit d before h b and a and never visit it again do not visit b and a until you visit h never visit h again then visit b before a and never visit a again finally visit a,& U ! d c & U ! h d & U ! b h & U ! a b F a
before visiting h a b and d visit c and never visit it again then visit h before a b and d and never visit it again do not visit b and d until you visit a never visit a again then visit b before d and never visit d again finally visit d,& U ! h c & U ! a h & U ! b a & U ! d b F d
before visiting h a d and b visit c and never visit it again then visit h before a d and b and never visit it again do not visit d and b until you visit a never visit a again then visit d before b and never visit b again finally visit b,& U ! h c & U ! a h & U ! d a & U ! b d F b
before visiting h b a and d visit c and never visit it again then visit h before b a and d and never visit it again do not visit a and d until you visit b never visit b again then visit a before d and never visit d again finally visit d,& U ! h c & U ! b h & U ! a b & U ! d a F d
before visiting h b d and a visit c and never visit it again then visit h before b d and a and never visit it again do not visit d and a until you visit b never visit b again then visit d before a and never visit a again finally visit a,& U ! h c & U ! b h & U ! d b & U ! a d F a
before visiting h d a and b visit c and never visit it again then visit h before d a and b and never visit it again do not visit a and b until you visit d never visit d again then visit a before b and never visit b again finally visit b,& U ! h c & U ! d h & U ! a d & U ! b a F b
before visiting h d b and a visit c and never visit it again then visit h before d b and a and never visit it again do not visit b and a until you visit d never visit d again then visit b before a and never visit a again finally visit a,& U ! h c & U ! d h & U ! b d & U ! a b F a
before visiting a b c and h visit d and never visit it again then visit a before b c and h and never visit it again do not visit c and h until you visit b never visit b again then visit c before h and never visit h again finally visit h,& U ! a d & U ! b a & U ! c b & U ! h c F h
before visiting a b h and c visit d and never visit it again then visit a before b h and c and never visit it again do not visit h and c until you visit b never visit b again then visit h before c and never visit c again finally visit c,& U ! a d & U ! b a & U ! h b & U ! c h F c
before visiting a c b and h visit d and never visit it again then visit a before c b and h and never visit it again do not visit b and h until you visit c never visit c again then visit b before h and never visit h again finally visit h,& U ! a d & U ! c a & U ! b c & U ! h b F h
before visiting a c h and b visit d and never visit it again then visit a before c h and b and never visit it again do not visit h and b until you visit c never visit c again then visit h before b and never visit b again finally visit b,& U ! a d & U ! c a & U ! h c & U ! b h F b
before visiting a h b and c visit d and never visit it again then visit a before h b and c and never visit it again do not visit b and c until you visit h never visit h again then visit b before c and never visit c again finally visit c,& U ! a d & U ! h a & U ! b h & U ! c b F c
before visiting a h c and b visit d and never visit it again then visit a before h c and b and never visit it again do not visit c and b until you visit h never visit h again then visit c before b and never visit b again finally visit b,& U ! a d & U ! h a & U ! c h & U ! b c F b
before visiting b a c and h visit d and never visit it again then visit b before a c and h and never visit it again do not visit c and h until you visit a never visit a again then visit c before h and never visit h again finally visit h,& U ! b d & U ! a b & U ! c a & U ! h c F h
before visiting b a h and c visit d and never visit it again then visit b before a h and c and never visit it again do not visit h and c until you visit a never visit a again then visit h before c and never visit c again finally visit c,& U ! b d & U ! a b & U ! h a & U ! c h F c
before visiting b c a and h visit d and never visit it again then visit b before c a and h and never visit it again do not visit a and h until you visit c never visit c again then visit a before h and never visit h again finally visit h,& U ! b d & U ! c b & U ! a c & U ! h a F h
before visiting b c h and a visit d and never visit it again then visit b before c h and a and never visit it again do not visit h and a until you visit c never visit c again then visit h before a and never visit a again finally visit a,& U ! b d & U ! c b & U ! h c & U ! a h F a
before visiting b h a and c visit d and never visit it again then visit b before h a and c and never visit it again do not visit a and c until you visit h never visit h again then visit a before c and never visit c again finally visit c,& U ! b d & U ! h b & U ! a h & U ! c a F c
before visiting b h c and a visit d and never visit it again then visit b before h c and a and never visit it again do not visit c and a until you visit h never visit h again then visit c before a and never visit a again finally visit a,& U ! b d & U ! h b & U ! c h & U ! a c F a
before visiting c a b and h visit d and never visit it again then visit c before a b and h and never visit it again do not visit b and h until you visit a never visit a again then visit b before h and never visit h again finally visit h,& U ! c d & U ! a c & U ! b a & U ! h b F h
before visiting c a h and b visit d and never visit it again then visit c before a h and b and never visit it again do not visit h and b until you visit a never visit a again then visit h before b and never visit b again finally visit b,& U ! c d & U ! a c & U ! h a & U ! b h F b
before visiting c b a and h visit d and never visit it again then visit c before b a and h and never visit it again do not visit a and h until you visit b never visit b again then visit a before h and never visit h again finally visit h,& U ! c d & U ! b c & U ! a b & U ! h a F h
before visiting c b h and a visit d and never visit it again then visit c before b h and a and never visit it again do not visit h and a until you visit b never visit b again then visit h before a and never visit a again finally visit a,& U ! c d & U ! b c & U ! h b & U ! a h F a
before visiting c h a and b visit d and never visit it again then visit c before h a and b and never visit it again do not visit a and b until you visit h never visit h again then visit a before b and never visit b again finally visit b,& U ! c d & U ! h c & U ! a h & U ! b a F b
before visiting c h b and a visit d and never visit it again then visit c before h b and a and never visit it again do not visit b and a until you visit h never visit h again then visit b before a and never visit a again finally visit a,& U ! c d & U ! h c & U ! b h & U ! a b F a
before visiting h a b and c visit d and never visit it again then visit h before a b and c and never visit it again do not visit b and c until you visit a never visit a again then visit b before c and never visit c again finally visit c,& U ! h d & U ! a h & U ! b a & U ! c b F c
before visiting h a c and b visit d and never visit it again then visit h before a c and b and never visit it again do not visit c and b until you visit a never visit a again then visit c before b and never visit b again finally visit b,& U ! h d & U ! a h & U ! c a & U ! b c F b
before visiting h b a and c visit d and never visit it again then visit h before b a and c and never visit it again do not visit a and c until you visit b never visit b again then visit a before c and never visit c again finally visit c,& U ! h d & U ! b h & U ! a b & U ! c a F c
before visiting h b c and a visit d and never visit it again then visit h before b c and a and never visit it again do not visit c and a until you visit b never visit b again then visit c before a and never visit a again finally visit a,& U ! h d & U ! b h & U ! c b & U ! a c F a
before visiting h c a and b visit d and never visit it again then visit h before c a and b and never visit it again do not visit a and b until you visit c never visit c again then visit a before b and never visit b again finally visit b,& U ! h d & U ! c h & U ! a c & U ! b a F b
before visiting h c b and a visit d and never visit it again then visit h before c b and a and never visit it again do not visit b and a until you visit c never visit c again then visit b before a and never visit a again finally visit a,& U ! h d & U ! c h & U ! b c & U ! a b F a
before visiting a b c and d visit h and never visit it again then visit a before b c and d and never visit it again do not visit c and d until you visit b never visit b again then visit c before d and never visit d again finally visit d,& U ! a h & U ! b a & U ! c b & U ! d c F d
before visiting a b d and c visit h and never visit it again then visit a before b d and c and never visit it again do not visit d and c until you visit b never visit b again then visit d before c and never visit c again finally visit c,& U ! a h & U ! b a & U ! d b & U ! c d F c
before visiting a c b and d visit h and never visit it again then visit a before c b and d and never visit it again do not visit b and d until you visit c never visit c again then visit b before d and never visit d again finally visit d,& U ! a h & U ! c a & U ! b c & U ! d b F d
before visiting a c d and b visit h and never visit it again then visit a before c d and b and never visit it again do not visit d and b until you visit c never visit c again then visit d before b and never visit b again finally visit b,& U ! a h & U ! c a & U ! d c & U ! b d F b
before visiting a d b and c visit h and never visit it again then visit a before d b and c and never visit it again do not visit b and c until you visit d never visit d again then visit b before c and never visit c again finally visit c,& U ! a h & U ! d a & U ! b d & U ! c b F c
before visiting a d c and b visit h and never visit it again then visit a before d c and b and never visit it again do not visit c and b until you visit d never visit d again then visit c before b and never visit b again finally visit b,& U ! a h & U ! d a & U ! c d & U ! b c F b
before visiting b a c and d visit h and never visit it again then visit b before a c and d and never visit it again do not visit c and d until you visit a never visit a again then visit c before d and never visit d again finally visit d,& U ! b h & U ! a b & U ! c a & U ! d c F d
before visiting b a d and c visit h and never visit it again then visit b before a d and c and never visit it again do not visit d and c until you visit a never visit a again then visit d before c and never visit c again finally visit c,& U ! b h & U ! a b & U ! d a & U ! c d F c
before visiting b c a and d visit h and never visit it again then visit b before c a and d and never visit it again do not visit a and d until you visit c never visit c again then visit a before d and never visit d again finally visit d,& U ! b h & U ! c b & U ! a c & U ! d a F d
before visiting b c d and a visit h and never visit it again then visit b before c d and a and never visit it again do not visit d and a until you visit c never visit c again then visit d before a and never visit a again finally visit a,& U ! b h & U ! c b & U ! d c & U ! a d F a
before visiting b d a and c visit h and never visit it again then visit b before d a and c and never visit it again do not visit a and c until you visit d never visit d again then visit a before c and never visit c again finally visit c,& U ! b h & U ! d b & U ! a d & U ! c a F c
before visiting b d c and a visit h and never visit it again then visit b before d c and a and never visit it again do not visit c and a until you visit d never visit d again then visit c before a and never visit a again finally visit a,& U ! b h & U ! d b & U ! c d & U ! a c F a
before visiting c a b and d visit h and never visit it again then visit c before a b and d and never visit it again do not visit b and d until you visit a never visit a again then visit b before d and never visit d again finally visit d,& U ! c h & U ! a c & U ! b a & U ! d b F d
before visiting c a d and b visit h and never visit it again then visit c before a d and b and never visit it again do not visit d and b until you visit a never visit a again then visit d before b and never visit b again finally visit b,& U ! c h & U ! a c & U ! d a & U ! b d F b
before visiting c b a and d visit h and never visit it again then visit c before b a and d and never visit it again do not visit a and d until you visit b never visit b again then visit a before d and never visit d again finally visit d,& U ! c h & U ! b c & U ! a b & U ! d a F d
before visiting c b d and a visit h and never visit it again then visit c before b d and a and never visit it again do not visit d and a until you visit b never visit b again then visit d before a and never visit a again finally visit a,& U ! c h & U ! b c & U ! d b & U ! a d F a
before visiting c d a and b visit h and never visit it again then visit c before d a and b and never visit it again do not visit a and b until you visit d never visit d again then visit a before b and never visit b again finally visit b,& U ! c h & U ! d c & U ! a d & U ! b a F b
before visiting c d b and a visit h and never visit it again then visit c before d b and a and never visit it again do not visit b and a until you visit d never visit d again then visit b before a and never visit a again finally visit a,& U ! c h & U ! d c & U ! b d & U ! a b F a
before visiting d a b and c visit h and never visit it again then visit d before a b and c and never visit it again do not visit b and c until you visit a never visit a again then visit b before c and never visit c again finally visit c,& U ! d h & U ! a d & U ! b a & U ! c b F c
before visiting d a c and b visit h and never visit it again then visit d before a c and b and never visit it again do not visit c and b until you visit a never visit a again then visit c before b and never visit b again finally visit b,& U ! d h & U ! a d & U ! c a & U ! b c F b
before visiting d b a and c visit h and never visit it again then visit d before b a and c and never visit it again do not visit a and c until you visit b never visit b again then visit a before c and never visit c again finally visit c,& U ! d h & U ! b d & U ! a b & U ! c a F c
