composed_utterance,composed_formulas,base_utterances,base_formulas
"visit a and visit b after a is visited, in addition make sure you never visit a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition you can not go to a at any time",& F & a F b G ! a,"('visit a and visit b after a is visited', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition avoid going to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'avoid going to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition you must never go to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'you must never go to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition a should never be reached",& F & a F b G ! a,"('visit a and visit b after a is visited', 'a should never be reached')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition a must be avoided",& F & a F b G ! a,"('visit a and visit b after a is visited', 'a must be avoided')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition never visit a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'never visit a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition you must avoid a at all costs",& F & a F b G ! a,"('visit a and visit b after a is visited', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition you can not go to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition avoid a forever",& F & a F b G ! a,"('visit a and visit b after a is visited', 'avoid a forever')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition do not make any single visit to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition you can not go to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition never let a hold",& F & a F b G ! a,"('visit a and visit b after a is visited', 'never let a hold')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition a should never become true",& F & a F b G ! a,"('visit a and visit b after a is visited', 'a should never become true')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition never go to a",& F & a F b G ! a,"('after you visit a go to b', 'never go to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition do not go to a",& F & a F b G ! a,"('after you visit a go to b', 'do not go to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition you can go anywhere but a",& F & a F b G ! a,"('after you visit a go to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition a can not be visited at any time",& F & a F b G ! a,"('after you visit a go to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition always keep away from a",& F & a F b G ! a,"('after you visit a go to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition never visit a",& F & a F b G ! a,"('after you visit a go to b', 'never visit a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition you can never go to a",& F & a F b G ! a,"('after you visit a go to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition always stay away from a",& F & a F b G ! a,"('after you visit a go to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition always avoid going to a",& F & a F b G ! a,"('after you visit a go to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('after you visit a go to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition make sure you never visit a",& F & a F b G ! a,"('after you visit a go to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition you can not go to a at any time",& F & a F b G ! a,"('after you visit a go to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition avoid going to a",& F & a F b G ! a,"('after you visit a go to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition you must never go to a",& F & a F b G ! a,"('after you visit a go to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition a should never be reached",& F & a F b G ! a,"('after you visit a go to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition a must be avoided",& F & a F b G ! a,"('after you visit a go to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition never visit a",& F & a F b G ! a,"('after you visit a go to b', 'never visit a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('after you visit a go to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition you can not go to a",& F & a F b G ! a,"('after you visit a go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition avoid a forever",& F & a F b G ! a,"('after you visit a go to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition do not make any single visit to a",& F & a F b G ! a,"('after you visit a go to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition you can not go to a",& F & a F b G ! a,"('after you visit a go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition never let a hold",& F & a F b G ! a,"('after you visit a go to b', 'never let a hold')","('F & a F b', 'G ! a')"
"after you visit a go to b, in addition a should never become true",& F & a F b G ! a,"('after you visit a go to b', 'a should never become true')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition never go to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'never go to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition do not go to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'do not go to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition you can go anywhere but a",& F & a F b G ! a,"('after you have been to a make your way to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition a can not be visited at any time",& F & a F b G ! a,"('after you have been to a make your way to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition always keep away from a",& F & a F b G ! a,"('after you have been to a make your way to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition never visit a",& F & a F b G ! a,"('after you have been to a make your way to b', 'never visit a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition you can never go to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition always stay away from a",& F & a F b G ! a,"('after you have been to a make your way to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition always avoid going to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('after you have been to a make your way to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition make sure you never visit a",& F & a F b G ! a,"('after you have been to a make your way to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition you can not go to a at any time",& F & a F b G ! a,"('after you have been to a make your way to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition avoid going to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition you must never go to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition a should never be reached",& F & a F b G ! a,"('after you have been to a make your way to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition a must be avoided",& F & a F b G ! a,"('after you have been to a make your way to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition never visit a",& F & a F b G ! a,"('after you have been to a make your way to b', 'never visit a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('after you have been to a make your way to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition you can not go to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition avoid a forever",& F & a F b G ! a,"('after you have been to a make your way to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition do not make any single visit to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition you can not go to a",& F & a F b G ! a,"('after you have been to a make your way to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition never let a hold",& F & a F b G ! a,"('after you have been to a make your way to b', 'never let a hold')","('F & a F b', 'G ! a')"
"after you have been to a make your way to b, in addition a should never become true",& F & a F b G ! a,"('after you have been to a make your way to b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition never go to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'never go to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition do not go to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition always keep away from a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition never visit a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'never visit a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition you can never go to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition always stay away from a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition always avoid going to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition make sure you never visit a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition avoid going to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition you must never go to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition a should never be reached",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition a must be avoided",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition never visit a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'never visit a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition you can not go to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition avoid a forever",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition you can not go to a",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition never let a hold",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a and move on to b once you have been to a, in addition a should never become true",& F & a F b G ! a,"('go to a and move on to b once you have been to a', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition never go to a",& F & a F b G ! a,"('go to a and then go to b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition do not go to a",& F & a F b G ! a,"('go to a and then go to b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a and then go to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a and then go to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition always keep away from a",& F & a F b G ! a,"('go to a and then go to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition never visit a",& F & a F b G ! a,"('go to a and then go to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition you can never go to a",& F & a F b G ! a,"('go to a and then go to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition always stay away from a",& F & a F b G ! a,"('go to a and then go to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition always avoid going to a",& F & a F b G ! a,"('go to a and then go to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a and then go to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a and then go to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a and then go to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition avoid going to a",& F & a F b G ! a,"('go to a and then go to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition you must never go to a",& F & a F b G ! a,"('go to a and then go to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition a should never be reached",& F & a F b G ! a,"('go to a and then go to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition a must be avoided",& F & a F b G ! a,"('go to a and then go to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition never visit a",& F & a F b G ! a,"('go to a and then go to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a and then go to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition you can not go to a",& F & a F b G ! a,"('go to a and then go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition avoid a forever",& F & a F b G ! a,"('go to a and then go to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a and then go to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition you can not go to a",& F & a F b G ! a,"('go to a and then go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition never let a hold",& F & a F b G ! a,"('go to a and then go to b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a and then go to b, in addition a should never become true",& F & a F b G ! a,"('go to a and then go to b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition never go to a",& F & a F b G ! a,"('go to a then go to b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition do not go to a",& F & a F b G ! a,"('go to a then go to b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a then go to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a then go to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition always keep away from a",& F & a F b G ! a,"('go to a then go to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition never visit a",& F & a F b G ! a,"('go to a then go to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition you can never go to a",& F & a F b G ! a,"('go to a then go to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition always stay away from a",& F & a F b G ! a,"('go to a then go to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition always avoid going to a",& F & a F b G ! a,"('go to a then go to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a then go to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a then go to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a then go to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition avoid going to a",& F & a F b G ! a,"('go to a then go to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition you must never go to a",& F & a F b G ! a,"('go to a then go to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition a should never be reached",& F & a F b G ! a,"('go to a then go to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition a must be avoided",& F & a F b G ! a,"('go to a then go to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition never visit a",& F & a F b G ! a,"('go to a then go to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a then go to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition you can not go to a",& F & a F b G ! a,"('go to a then go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition avoid a forever",& F & a F b G ! a,"('go to a then go to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a then go to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition you can not go to a",& F & a F b G ! a,"('go to a then go to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition never let a hold",& F & a F b G ! a,"('go to a then go to b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a then go to b, in addition a should never become true",& F & a F b G ! a,"('go to a then go to b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition never go to a",& F & a F b G ! a,"('go to b after going to a', 'never go to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition do not go to a",& F & a F b G ! a,"('go to b after going to a', 'do not go to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition you can go anywhere but a",& F & a F b G ! a,"('go to b after going to a', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition a can not be visited at any time",& F & a F b G ! a,"('go to b after going to a', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition always keep away from a",& F & a F b G ! a,"('go to b after going to a', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition never visit a",& F & a F b G ! a,"('go to b after going to a', 'never visit a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition you can never go to a",& F & a F b G ! a,"('go to b after going to a', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition always stay away from a",& F & a F b G ! a,"('go to b after going to a', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition always avoid going to a",& F & a F b G ! a,"('go to b after going to a', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to b after going to a', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition make sure you never visit a",& F & a F b G ! a,"('go to b after going to a', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition you can not go to a at any time",& F & a F b G ! a,"('go to b after going to a', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition avoid going to a",& F & a F b G ! a,"('go to b after going to a', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition you must never go to a",& F & a F b G ! a,"('go to b after going to a', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition a should never be reached",& F & a F b G ! a,"('go to b after going to a', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition a must be avoided",& F & a F b G ! a,"('go to b after going to a', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition never visit a",& F & a F b G ! a,"('go to b after going to a', 'never visit a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to b after going to a', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition you can not go to a",& F & a F b G ! a,"('go to b after going to a', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition avoid a forever",& F & a F b G ! a,"('go to b after going to a', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition do not make any single visit to a",& F & a F b G ! a,"('go to b after going to a', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition you can not go to a",& F & a F b G ! a,"('go to b after going to a', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition never let a hold",& F & a F b G ! a,"('go to b after going to a', 'never let a hold')","('F & a F b', 'G ! a')"
"go to b after going to a, in addition a should never become true",& F & a F b G ! a,"('go to b after going to a', 'a should never become true')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition never go to a",& F & a F b G ! a,"('visit a visit b after that', 'never go to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition do not go to a",& F & a F b G ! a,"('visit a visit b after that', 'do not go to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition you can go anywhere but a",& F & a F b G ! a,"('visit a visit b after that', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition a can not be visited at any time",& F & a F b G ! a,"('visit a visit b after that', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition always keep away from a",& F & a F b G ! a,"('visit a visit b after that', 'always keep away from a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition never visit a",& F & a F b G ! a,"('visit a visit b after that', 'never visit a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition you can never go to a",& F & a F b G ! a,"('visit a visit b after that', 'you can never go to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition always stay away from a",& F & a F b G ! a,"('visit a visit b after that', 'always stay away from a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition always avoid going to a",& F & a F b G ! a,"('visit a visit b after that', 'always avoid going to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition you have to avoid a at all costs",& F & a F b G ! a,"('visit a visit b after that', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition make sure you never visit a",& F & a F b G ! a,"('visit a visit b after that', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition you can not go to a at any time",& F & a F b G ! a,"('visit a visit b after that', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition avoid going to a",& F & a F b G ! a,"('visit a visit b after that', 'avoid going to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition you must never go to a",& F & a F b G ! a,"('visit a visit b after that', 'you must never go to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition a should never be reached",& F & a F b G ! a,"('visit a visit b after that', 'a should never be reached')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition a must be avoided",& F & a F b G ! a,"('visit a visit b after that', 'a must be avoided')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition never visit a",& F & a F b G ! a,"('visit a visit b after that', 'never visit a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition you must avoid a at all costs",& F & a F b G ! a,"('visit a visit b after that', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition you can not go to a",& F & a F b G ! a,"('visit a visit b after that', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition avoid a forever",& F & a F b G ! a,"('visit a visit b after that', 'avoid a forever')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition do not make any single visit to a",& F & a F b G ! a,"('visit a visit b after that', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition you can not go to a",& F & a F b G ! a,"('visit a visit b after that', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition never let a hold",& F & a F b G ! a,"('visit a visit b after that', 'never let a hold')","('F & a F b', 'G ! a')"
"visit a visit b after that, in addition a should never become true",& F & a F b G ! a,"('visit a visit b after that', 'a should never become true')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition never go to a",& F & a F b G ! a,"('reach a then go to b', 'never go to a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition do not go to a",& F & a F b G ! a,"('reach a then go to b', 'do not go to a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition you can go anywhere but a",& F & a F b G ! a,"('reach a then go to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition a can not be visited at any time",& F & a F b G ! a,"('reach a then go to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition always keep away from a",& F & a F b G ! a,"('reach a then go to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition never visit a",& F & a F b G ! a,"('reach a then go to b', 'never visit a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition you can never go to a",& F & a F b G ! a,"('reach a then go to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition always stay away from a",& F & a F b G ! a,"('reach a then go to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition always avoid going to a",& F & a F b G ! a,"('reach a then go to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('reach a then go to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition make sure you never visit a",& F & a F b G ! a,"('reach a then go to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition you can not go to a at any time",& F & a F b G ! a,"('reach a then go to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"reach a then go to b, in addition avoid going to a",& F & a F b G ! a,"('reach a then go to b', 'avoid going to a')","('F & a F b', 'G ! a')"
