Pattern Type,Number of Propositions,Utterance,True LTL,City
visit,2,Avoid Catfish Station while on your way to TGF Hair Salon,F & viets_express F tgf_hair_salon,Houston
visit,2,Go straight to Wet's Express and then turn left to TGF Hair Salon.,F & viets_express F tgf_hair_salon,Houston
visit,2,Take the most direct route to Viet's Express then continue southwest to TGF Hair Salon.,F & viets_express F tgf_hair_salon,Houston
visit,2,Please go to Viet's Express and then head to TGF Hair Salon,F & viets_express F tgf_hair_salon,Houston
visit,2,Navigate through Viet's Express and enter the TGF Hair salon,F & viets_express F tgf_hair_salon,Houston
visit,2,go to the vietnamese restaurant and then the hair salon,F & viets_express F tgf_hair_salon,Houston
visit,2,Visit Viet's Express restaurant on your way to the Hair Salon,F & viets_express F tgf_hair_salon,Houston
visit,2,Navigate to the vietnamese restaurant and then to the hair salon.,F & viets_express F tgf_hair_salon,Houston
visit,1,Enter tomo Sushi,F tomo_sushiramen,Philadelphia #1
visit,1,Navigate straight to Tomo Sushi and Ramen.,F tomo_sushiramen,Philadelphia #1
visit,1,Avoid Briar Vintage while on your way to Tomo Sushi and Ramen,F tomo_sushiramen,Philadelphia #1
visit,1,go to the sushi restaurant,F tomo_sushiramen,Philadelphia #1
visit,1,Turn right across Arch Street until you reach Tomo Sushi & Ramen.,F tomo_sushiramen,Philadelphia #1
visit,1,"Go to Tomo Sushi & Ramen, avoiding the intersection.",F tomo_sushiramen,Philadelphia #1
visit,1,"Do not turn towardsBriar Village, go straight instead to Tomo Sushi & Ramen.",F tomo_sushiramen,Philadelphia #1
visit,1,"Make a slight loop to head to your destination, which is Tomo Sushi & Ramen",F tomo_sushiramen,Philadelphia #1
visit,1,Navigate to Tomo Sushi & Ramen while avoiding Briar Vintage.,F tomo_sushiramen,Philadelphia #1
visit,1,Stay away from Briar Vintage on your way to the sushi restaurant.,F tomo_sushiramen,Philadelphia #1
visit,2,Make your way through the sush restaurant and then enter Tribal home.,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,Go to Tomo Sushi and Ramen while on your way to Tribal Home Interiors,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,Go to the sushi restaurant then to the art gallery.,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,Tomo Sushi and Ramen is the first stop on your route.,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,Go to the sushi restaurant and then to the art gallery,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,Turn left to Tomo Sushi & Ramen before heading southwest to Tribal Home.,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,Go to Tribal Home Interiors just before Briar Village.,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,"Make your way to Tomo Sushi & Ramen, then head to Tribal Home",F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,Navigate to Tribal Home (Interiors) while passing through Tomo Sushi & Ramen.,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,First go to the Japanese restaurant and then visit Tribal Home interiors.,F & tomo_sushiramen F tribal_home_interiors,Philadelphia #1
visit,2,Enter Tribal home on your way to Briar Vintage.,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,Navigate to Tribal Home and then to Briar Village.,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,Go to Tribal Home Interiors while on your way to Briar Vintage,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,Travel to the art gallery followed by the clothing store.,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,Go straight to Tribal home and then turn left to Briar Vintage.,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,"Go to Tribal Home, then go to Briar Vintage.",F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,Go to Tribal Home (interiors) then go directly to Briar Vintage.,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,Make your first stop at Tribal Home before making your next stop at Briar Vintage,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,Go around Tribal Home to show up at the vintage clothing store in PA.,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,Go to Tribal Home and then go over to Briar Vintage.,F & tribal_home_interiors F briar_vintage,Philadelphia #1
visit,2,First go to Tribal Home and then stop by Tomo Sushi & Ramen.,F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,Avoid Briar Vintage while on your way to Tomo Sushi and Ramen,F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,Navigate to Tomo Sushi & Ramen after going to Tribal Home(Interiors),F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,Go to the art gallery and to get sushi,F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,Go to Tribal Home (interiors) but avoid Briar Vintange along the way.,F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,"Head to your first stop, Tribal Home, before continuing on to Tomo Sushi & Ramen",F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,Navigate to Tomo Sushi & Ramen while passing through Tribal Home (Interiors).,F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,"Visit Tribal Home Interiors, then proceed to Tomo Sushi and Ramen",F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,Go through Tribal Home Interiors on your way to Tomo Sushi & Ramen.,F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,2,Go around Brian Vintage to show up at the Sushi & Ramen place.,F & tribal_home_interiors F tomo_sushiramen,Philadelphia #1
visit,1,Proceed to Wawa but do not go through the restaurant.,F wawa,Philadelphia #2
visit,1,Navigate to Wawa by passing a college house,F wawa,Philadelphia #2
visit,1,"In nearly a straight line, make your way to Wawa",F wawa,Philadelphia #2
visit,1,Navigate to Wawa while avoiding Beijing Restaurant.,F wawa,Philadelphia #2
visit,1,Navigate to Wawa.,F wawa,Philadelphia #2
visit,1,Avoid Beijing while on your way to wawa,F wawa,Philadelphia #2
visit,1,Navigate to the Wawa,F wawa,Philadelphia #2
visit,1,Navigate straight ot Wawa,F wawa,Philadelphia #2
visit,1,Go straight across the street to Wawa.,F wawa,Philadelphia #2
visit,1,Go to Wawa.,F wawa,Philadelphia #2
visit,2,"Go to Wawa, then to the Beijing Restaurant.",F & wawa F beijing,Philadelphia #2
visit,2,Navigate to the Beijing Restaurant while avoiding the Wawa.,F & wawa F beijing,Philadelphia #2
visit,2,Proceed through Wawa on your way to the Chinese Restaurant.,F & wawa F beijing,Philadelphia #2
visit,2,Head to the wawa and from there turn and proceed straight to Beijing Restaraunt,F & wawa F beijing,Philadelphia #2
visit,2,"Move over to Wawa, then keep going to Beijing Restaurant.",F & wawa F beijing,Philadelphia #2
visit,2,"Stop at Wawa on your way to Beijing Restaurant,",F & wawa F beijing,Philadelphia #2
visit,2,Go to Wawa while on your way to Beijing Restaurant,F & wawa F beijing,Philadelphia #2
visit,2,Go straight across the street to Wawa and then turn right to Beijing.,F & wawa F beijing,Philadelphia #2
visit,2,Heading towards Wawa switch to the left and arrive at Beijing Chinese place.,F & wawa F beijing,Philadelphia #2
visit,2,Travel to Wawa and then proceed to Beijing Restaurant.,F & wawa F beijing,Philadelphia #2
visit,2,Go to Beijing Restaurant while on your way to 37th St Trolley Station,F & beijing F 37th_street_station,Philadelphia #2
visit,2,Navigate to the Beijing Restaurant and then on to the 37th St Trolley Station,F & beijing F 37th_street_station,Philadelphia #2
visit,2,Head right through Beijing Restaurant to show up at 37th street station.,F & beijing F 37th_street_station,Philadelphia #2
visit,2,Go straight to Beijing and then turn right on to Spruce Street.,F & beijing F 37th_street_station,Philadelphia #2
visit,2,"Your first stop is Beijing Restaurant, then from there your second stop is going to be 37th St Trolley Station",F & beijing F 37th_street_station,Philadelphia #2
visit,2,Stop at Beijing Restaurant on your way to 37th St Trolley Station.,F & beijing F 37th_street_station,Philadelphia #2
visit,2,Visit Beijing Restaurant on the way to the 37th St Trolley Station,F & beijing F 37th_street_station,Philadelphia #2
visit,2,Go through the Beijing Restaurant on your way to the 37th St Trolley Station.,F & beijing F 37th_street_station,Philadelphia #2
visit,2,"Go to the Beijing Restaurant, then head to the 37th St Trolley Station.",F & beijing F 37th_street_station,Philadelphia #2
visit,2,Proceed through the Chinese restaurant on your way to the 37th st trolley Station.,F & beijing F 37th_street_station,Philadelphia #2
visit,2,Go straight to 37th Street Station before turning left to head to Wawa.,F & 37th_street_station F wawa,Philadelphia #2
visit,2,Head to 37th Street Station then take Spruce Street to Wawa avoiding any other restaurants along the way.,F & 37th_street_station F wawa,Philadelphia #2
visit,2,Avoid Beijing Restaurant while on your way to Wawa,F & 37th_street_station F wawa,Philadelphia #2
visit,2,First head to the 37th St Trolley and then turn and head to the Wawa,F & 37th_street_station F wawa,Philadelphia #2
visit,2,Go to the 37th St Trolley Station and then head back to Beijing Restaurant.,F & 37th_street_station F wawa,Philadelphia #2
visit,2,Travel to the trolley station and then to Wawa,F & 37th_street_station F wawa,Philadelphia #2
visit,2,Pass the Upper Quad to make your way to 37th St Trolley Station,F & 37th_street_station F wawa,Philadelphia #2
visit,2,Move to 37th Street Station adn than navigate to Wawa.,F & 37th_street_station F wawa,Philadelphia #2
visit,2,Navigate to the convenience store after you stop at 37th St Trolley Station.,F & 37th_street_station F wawa,Philadelphia #2
visit,2,Navigate to the Wawa while passing through the 37th Street Trolley Station.,F & 37th_street_station F wawa,Philadelphia #2
visit,1,Navigate directly to Nikki & Co. Fine Jewelers,F nikki_fine_jewelers,San Diego #1
visit,1,Go straight to Nikki Fine Jewelers,F nikki_fine_jewelers,San Diego #1
visit,1,Go right over to the jewelry store,F nikki_fine_jewelers,San Diego #1
visit,1,Go to Nikki & Co. Fine Jewelers.,F nikki_fine_jewelers,San Diego #1
visit,1,Navigate to the jewelers while avoiding the museum.,F nikki_fine_jewelers,San Diego #1
visit,1,Head straight to Nikki Fine Jewelers.,F nikki_fine_jewelers,San Diego #1
visit,1,Navigate to the jewelry store.,F nikki_fine_jewelers,San Diego #1
visit,1,Move to Nikki Co. & Fine Jewelers,F nikki_fine_jewelers,San Diego #1
visit,1,Go directly to Nikki Fine Jewelers and make no stops along the way.,F nikki_fine_jewelers,San Diego #1
visit,1,Head  straight to Nikki & Co. Do not stop anywhere else,F nikki_fine_jewelers,San Diego #1
visit,2,Go to the jewelry store on your way to CVS.,F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,When you get to Nikki & Co. Fine Jewelers turn left and head to CVS.,F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,Go to Nikki Fine Jewelers while on your way to CVS,F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,Navigate to CVS while passing through Nikki & Co Fine Jewelers.,F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,Go straight to Nikki Fine Jewelers and then turn right to CVS.,F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,Navigate to Nikki & Co. and then to the pharmacy.,F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,go to the jewelry store and then to the drug store,F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,"Make a straight line to your first stop, which is Nikki & Co. Fine Jewelers, before moving on to your next stop of CVS",F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,Proceed first to Nikki & Co. and then turn straight to the CVS. At no point should you go near the William Health Davis House,F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,"Go to Nikki & Co. Fine Jewelers, then go to CVS.",F & nikki_fine_jewelers F cvs,San Diego #1
visit,2,"Go to CVS, then go to William Heath Davis House Museum.",F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Navigate to CVS on your way to William Heath Davis House.,F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Go to the CVS and then head southwest to William Heath Davis House Museum.,F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Head to CVS and then proceed straight to William Health Davis House.,F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,"When you get to CVS, turn right and head to William Heath Davis House.",F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Stop at CVS on the way to William Heath Davis House Museum taking the most direct route to either destination.,F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Navigate to the William Heath Davis House while passing through the CVS.,F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Make your way through the cvs on your way to the museum.,F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Make your first stop at CVS before moving on to William Heath Davis House,F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Go to CVS while on your way to William Heath Davis House Museum,F & cvs F william_heath_davis_house_museum,San Diego #1
visit,2,Go to the jewelry store and then head over to William Heath Davis House.,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,Navigate to Nikki & Co. Fine Jewelers and then go to William Heath Davis House.,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,Navigate to the museum while avoiding the jewelers.,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,Go to Nikki Fine Jewelers while on your way to William Health Davis House,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,Head straight to Nikki & Co. and from there proceed to William Health Davis House,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,head over to the jewelry store and then to the museum,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,Navigate to Nikki Fine Jewelers on your way to William Heath David House Museum.,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,"Go to Nikki & Co. Fine Jewelers, then go to William Heath Davis House Museum.",F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,Navigate to Nikki & Co. On your way to William Heath Davis House.,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,2,Go straight to Nikki Fine Jewelers and then head to the south end of the block.,F & nikki_fine_jewelers F william_heath_davis_house_museum,San Diego #1
visit,1,Head straight over to the Italian Cultural Center.,F italian_cultural_center,San Diego #2
visit,1,Go directly to the Italian Cultural Center of San Diego.,F italian_cultural_center,San Diego #2
visit,1,Move directly to the Italian Cultural Center.,F italian_cultural_center,San Diego #2
visit,1,Navigate across State Street to the Italian Cultural Center of San Diego.,F italian_cultural_center,San Diego #2
visit,1,Go straight to the cultural center instead of heading in the direction of the museum.,F italian_cultural_center,San Diego #2
visit,1,Go straight across the street to the Italian Cultural Center.,F italian_cultural_center,San Diego #2
visit,1,Head over to the Italian Cultural Center.,F italian_cultural_center,San Diego #2
visit,1,Proceed directly to Italian Cultural Center.,F italian_cultural_center,San Diego #2
visit,1,Go straight to Italian Cultural Center,F italian_cultural_center,San Diego #2
visit,1,Go in a short straight line to the Italian Cultural Center,F italian_cultural_center,San Diego #2
visit,2,Go to the Italian restaurant on your way to the language school.,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Navigate straight to Buon Appetito Restaurant and from there head to the Italian Cultural Center,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Make your first stop at Buon Appetito Restaurant before moving on to your next stop at the Italian Cultural Center,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Head straight to Buon Appetito and then turn slightly right.,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Go to Buon Appetito Restaurant and then head to the Italian Cultural Center of San Diego.,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Ride past the Buon Appetito and end up at the Italian Cultural center.,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,"Go to Buon Appetito Restaurant, then continue to the Italian Cultural Center.",F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Go to Buon Appetito Restaurant and then go to the Italian Cultural Center.,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Go to Buon Appetito Restaurant while on your way to Italian Cultural Center,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Proceed through Buon Appetito on way to Language school.,F & buon_appetito F italian_cultural_center,San Diego #2
visit,2,Navigate first to the Italian Cultural Center and then onward to the Firehouse Museum.,F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,Go to Italian Cultural Center of San Diego while on your way to Firehouse Museum,F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,Stop by the language school on your way to the Firehouse Museum.,F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,"Navigate to the Italian Cultural Center of San Diego, and then to the Firehouse Museum",F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,"Move to Italian Cultural Center of San Diego, and then move the Firehouse Museum",F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,Turn left at the Italian Cultural Center before heading to the Firehouse Museum.,F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,Proceed to the museum while visiting the language school on the way.,F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,Stop at the cultural center and then continue to the museum.,F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,First go to the cultural center and then head over to Firehouse Museum.,F & italian_cultural_center F firehouse_museum,San Diego #2
visit,2,Hit the cultural center of SA only to land at the Firehouse museum.,F & italian_cultural_center F firehouse_museum,San Diego #2
visit,1,Navigate to Seawalk Pavilion,F seawalk_pavilion,Jacksonville #1
visit,1,Move to the seawalk pavilion and avoid surfer the bar,F seawalk_pavilion,Jacksonville #1
visit,1,Go to SeaWalk Pavillion while on your way to Surfer the Bar,F seawalk_pavilion,Jacksonville #1
visit,1,Move directly to Seawalk Pavilion.,F seawalk_pavilion,Jacksonville #1
visit,1,Head directly to your end destination the Seawalk Pavilion.,F seawalk_pavilion,Jacksonville #1
visit,1,Navigate to Seawalk Pavillion,F seawalk_pavilion,Jacksonville #1
visit,1,Head straight ahead to Seawalk Pavilion.,F seawalk_pavilion,Jacksonville #1
visit,1,Go to the Seawalk Pavilion.,F seawalk_pavilion,Jacksonville #1
visit,1,Navigate straight to the Seawalk Pavilion,F seawalk_pavilion,Jacksonville #1
visit,1,Go directly to the Seawalk Pavilion and avoid Surfer [the Bar].,F seawalk_pavilion,Jacksonville #1
visit,2,Proceed through the restaurant before moving towards the Pavilion.,F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,"Move to Sea Walk Pavilion, but first go to the Carrabba's Italian Grill.",F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,Go to Carrabba's Italian Grill while on your way to Seawalk Pavilion,F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,Head to Carrabba's and then to Seawalk Pavilion.,F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,Navigate to Carrabba's Italian Grill then navigate to Seawalk Pavilion.,F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,"Go to Carrabba's Italian Grill, then keep going until you reach SeaWalk Pavillion.",F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,"Go to Carrabba's Italian Grill, then go to Seawalk Pavilion.",F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,"Make a straight line to Carrabba's Italian Grill and stop, then head to Seawalk Pavilion",F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,Visit Carrabba's Italian Grill and then the SeaWalk Pavilion,F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,Go to the italian grill before heading over to Seawalk Pavilion.,F & carrabbas_italian_grill F seawalk_pavilion,Jacksonville #1
visit,2,Bypass Seawalk Pavilion on your way to Surfer (the bar),F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,Navigate to Seawalk Pavilion and then to Surfer the Bar.,F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,Go to Seawalk Pavillion while on your way to Surfer the Bar,F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,Go to Seawalk Pavilion and then to the bar & grill.,F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,"Go up to SeaWalk Pavillion then continue to Surfer the Bar, right next to it.",F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,"Go to the Seawalk Pavilion, then go to Surfer (the Bar).",F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,Head straight to Seawalk Pavilion then head left to stop at Surfer [The Bar],F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,Navigate to the bar while avoiding the pavilion.,F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,Turn left just past the Seawalk Pavilion and go the bar.,F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,Head towards Seawalk Pavilion and turn to go to Surfer.,F & seawalk_pavilion F surfer_the_bar,Jacksonville #1
visit,2,go to the Italian grill then navigate to the Surfer bar.,F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,Travel to Carrabba's Italian Grill and then to Surfer the Bar.,F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,Go to Carrabba's Italian Grill while on your way to Surfer the Bar,F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,First go to Carrabba's Italian Grill then proceed to Surfer[The Bar].,F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,Head straight to Carrabba's Italian Grill and then head northeast.,F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,"Go to Carrabba's Italian Grill, then go to Surfer (the Bar).",F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,Go to Carrabba's Italian Grill and then head to Surfer The Bar.,F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,"Go straight and stop at Carrabba's Italian Grill, then veer right and make a stop at Surfer the Bar",F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,"Navigate first to Carrabba's Italian Grill, and then to Surfer the Bar",F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,2,When you get to the Italian Grill make a sharp right turn and head back to the bar.,F & carrabbas_italian_grill F surfer_the_bar,Jacksonville #1
visit,1,Travel forward along Shetter ave to Beaches Museum.,F beaches_museum_chapel,Jacksonville #2
visit,1,Go directly to the history museum.,F beaches_museum_chapel,Jacksonville #2
visit,1,Go straight to Beaches Museum.,F beaches_museum_chapel,Jacksonville #2
visit,1,Proceed in a straight line to Beaches museum chapel.,F beaches_museum_chapel,Jacksonville #2
visit,1,Move directly towards the Beaches Museum without taking any detours.,F beaches_museum_chapel,Jacksonville #2
visit,1,Go directly to the Beaches Museum Chapel.,F beaches_museum_chapel,Jacksonville #2
visit,1,Head towards the museum and avoid Players by the sea.,F beaches_museum_chapel,Jacksonville #2
visit,1,Go directly to Beaches Museum.,F beaches_museum_chapel,Jacksonville #2
visit,1,"From your location, make a straight line and head for Beaches Museum Chapel.",F beaches_museum_chapel,Jacksonville #2
visit,1,Head directly to the Beaches Museum while avoiding Players By the Sea and Publix.,F beaches_museum_chapel,Jacksonville #2
visit,2,Make a a right turn at the Beaches Museum on your way to Players By the Sea.,F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,"Travel first to the history museum, and then to the arts theater after.",F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,Move to Beaches Museum Chapel then turn left and head to Players By the Sea.,F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,Stop by Beaches Museum on the way to Players By The Sea.,F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,fly north east and over us 90 towards beaches museum chapel.  turn left or north west at the chapel flying above pablo street to reach players by the sea one black away from beaches museum chapel.,F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,Go straight to the Beaches Museum.,F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,Go through Beaches Museum on your way to the community theater.,F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,"Be careful with crossing US 90 and make sure to cross Beach Museum Chapel first, before going to the Players By the Sea.",F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,"Make a straight line toward Beaches Museum Chapel for your first stop. After that, make another straight line to Players By the Sea.",F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,First go to the Museum Chapel and than move to Players by the sea.,F & beaches_museum_chapel F players_by_the_sea,Jacksonville #2
visit,2,Go to Players By The Sea on your way to Publix.,F & players_by_the_sea F publix,Jacksonville #2
visit,2,"Move to Player by the sea.
Navigate to the Publix market and avoid the Beaches Museum.
Move to Publix Super Market.",F & players_by_the_sea F publix,Jacksonville #2
visit,2,First head to Players By the Sea then turn right and head straight to Publix.,F & players_by_the_sea F publix,Jacksonville #2
visit,2,Go Straight through Players by the sea avoiding Beaches Museum on route to Publix.,F & players_by_the_sea F publix,Jacksonville #2
visit,2,"Your first stop is Players by the Sea, followed with a straight line to Publix.",F & players_by_the_sea F publix,Jacksonville #2
visit,2,Turn right at Players By the Sea.,F & players_by_the_sea F publix,Jacksonville #2
visit,2,Move towards Players by the sea and than navigate towards Publix.,F & players_by_the_sea F publix,Jacksonville #2
visit,2,Navigate to Players by the Sea and then to Publix avoiding Beaches Museum Chapel.,F & players_by_the_sea F publix,Jacksonville #2
visit,2,Go to the community theater and then proceed to the super market.,F & players_by_the_sea F publix,Jacksonville #2
visit,2,"Go to the performing arts theater first, and then to the grocery store after.",F & players_by_the_sea F publix,Jacksonville #2
visit,2,"Go in a straight line and make your first stop at Publix. After that, go in another straight line all the way to Players By the Sea.",F & publix F players_by_the_sea,Jacksonville #2
visit,2,Stop at Publix on your way to the theater.,F & publix F players_by_the_sea,Jacksonville #2
visit,2,Travel to the Player By The Sea avoiding the Publix,F & publix F players_by_the_sea,Jacksonville #2
visit,2,Navigate to Publix Super Market and then navigate to Players By the Sea.,F & publix F players_by_the_sea,Jacksonville #2
visit,2,Head to Publix and then go to Players By the Sea but avoid the Beaches Museum Chapel.,F & publix F players_by_the_sea,Jacksonville #2
visit,2,Move to Publix Super Market at Middle Beach Commons and then to Players By the Sea,F & publix F players_by_the_sea,Jacksonville #2
visit,2,Move to Publix and than move to Players by the sea while avoiding the Museum Chapel.,F & publix F players_by_the_sea,Jacksonville #2
visit,2,Go by publix on your way to Players By The Sea,F & publix F players_by_the_sea,Jacksonville #2
visit,2,Go to the performing arts theater while stopping at the grocery store first.,F & publix F players_by_the_sea,Jacksonville #2
visit,2,Navigate to Publix and then Player's by the Sea.,F & publix F players_by_the_sea,Jacksonville #2
visit,1,Head straight across the street to Christian Spiritualist Temple.,F christian_spiritualist_temple,Columbus #1
visit,1,Head straight to the Christian Spiritualist Temple,F christian_spiritualist_temple,Columbus #1
visit,1,Head right to the church.,F christian_spiritualist_temple,Columbus #1
visit,1,Navigate to the Christian Spiritualist Temple but don't go near Grant Medical Center on the way there.,F christian_spiritualist_temple,Columbus #1
visit,1,Head in a straight line to Christian Spiritualist Temple.,F christian_spiritualist_temple,Columbus #1
visit,1,Go straight to Christian Spiritualist Temple,F christian_spiritualist_temple,Columbus #1
visit,1,Move directly to the Christian Spiritualist Temple,F christian_spiritualist_temple,Columbus #1
visit,1,advance to the temple.,F christian_spiritualist_temple,Columbus #1
visit,1,Move to Christian Spiritualist Temple.,F christian_spiritualist_temple,Columbus #1
visit,1,Head directly to the Christian Spiritualist Temple.,F christian_spiritualist_temple,Columbus #1
visit,2,Move through the medical center as you proceed to the church.,F & grant_medical_center F christian_spiritualist_temple,Columbus #1
visit,2,stop by the hospital on the way to the church,F & grant_medical_center F christian_spiritualist_temple,Columbus #1
visit,2,Go to Grant Medical Center while on your way to Christian Spiritualist Temple,F & grant_medical_center F christian_spiritualist_temple,Columbus #1
visit,2,"Go to Grant Medical Center, then go to the Christian Spiritualist Temple.",F & grant_medical_center F christian_spiritualist_temple,Columbus #1
visit,2,Go straight to Grant Medical Center and then continue to the temple.,F & grant_medical_center F christian_spiritualist_temple,Columbus #1
